DEPT,SECTION,CATEGORY,SUBCATEGORY,ITEM,SIZE,PRICE,UPC,ID,DUE,NOTE,"EACH SIZE",UNIT,"PACK AMT","RETAIL UNITS PER EACH","REG PRICE",DEPT_ID,SECTION_ID,CATEGORY_ID,SUBCATEGORY_ID,ORIGIN
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Ambrosia Biodyn 80-125ct WA/OR","38","73.83","","9407","","Biodynamic","38","LB","1","1.000","73.83","2","4","","","OR"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Braeburn 100-113ct WA","38","49.45","","9117","","","38","LB","1","1.000","49.45","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Braeburn 12/3 LB WA","12","31.27","","7241","","","3","LB","12","1.000","31.27","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Braeburn 72-88ct WA","38","52.47","","621","","","38","LB","1","1.000","52.47","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Cameo (Juicers - No Stickers)  38 LB WA","38","33.39","","10171","Feb 23","","38","LB","1","1.000","33.39","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Enterprise 80-88t OR","38","46.64","","1172","","","38","LB","1","1.000","46.64","2","4","","","OR"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Fuji 100-113ct CA/WA","38","59.89","","1234","","","38","LB","1","1.000","59.89","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Fuji 12/3 LB OR/WA","12","34.61","","7242","","","3","LB","12","1.000","34.61","2","4","","","OR/WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Gala 100-113ct WA/OR","38","42.35","","1276","","","38","LB","1","1.000","42.35","2","4","","","WA/OR"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Gala 12/3 WA","12","30.69","","7","","","3","LB","12","1.000","30.69","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Gala 72ct WA","38","63.07","","8357","","","38","LB","1","1.000","63.07","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Granny Smith 100-113ct  WA","38","75.79","","8452","","","38","LB","1","1.000","75.79","2","4","","","WA"
"CERTIFIED ORGANIC PRODUCE","CERTIFIED ORGANIC FRUITS","","","Apple, Granny Smith 12/3 LB WA","12","38.69","","1381","","","3","LB","12","1.000","38.69","2","4","","","WA"
